Type,Date_Installation,Frequence,Wilaya,Ville
4G,2021-10-19,800,Bouaghi,Ville_1_Boua
4G,2021-02-17,800,Laghouat,Ville_2_Lagh
4G,2019-02-23,1800,Boumerdes,Ville_1_Boum
3G,2020-08-22,2100,Djelfa,Ville_4_Djel
3G,2019-08-12,1800,Boumerdes,Ville_6_Boum
4G,2017-07-14,1800,Jijel,Ville_6_Jije
2G,2020-02-18,800,Ain Defla,Ville_7_Ain 
4G,2022-02-07,800,Bejaia,Ville_6_Beja
2G,2016-12-02,1800,Saida,Ville_3_Said
4G,2018-04-12,700,Mila,Ville_3_Mila
4G,2021-10-04,1800,Bordj Bou Arreridj,Ville_3_Bord
3G,2022-07-28,700,Tindouf,Ville_2_Tind
2G,2015-10-15,2100,Saida,Ville_3_Said
2G,2015-01-02,700,Batna,Ville_6_Batn
2G,2015-07-21,700,ElTarf,Ville_3_ElTa
2G,2017-11-13,2100,Oran,Ville_1_Oran
3G,2019-11-07,2600,Tindouf,Ville_7_Tind
3G,2018-07-22,800,ElTarf,Ville_7_ElTa
2G,2017-05-25,2600,Mascara,Ville_3_Masc
2G,2016-11-01,1800,SoukAhras ,Ville_7_Souk
4G,2016-01-10,1800,Alger,Ville_1_Alge
2G,2019-01-15,2100,Tiaret,Ville_2_Tiar
4G,2015-01-04,700,Tlemcen,Ville_1_Tlem
2G,2015-09-17,700,Saida,Ville_1_Said
2G,2020-12-24,1800,SidiBelAbbes,Ville_5_Sidi
3G,2021-02-28,2100,Alger,Ville_2_Alge
4G,2016-01-12,800,Illizi,Ville_8_Illi
2G,2017-02-10,2600,Boumerdes,Ville_6_Boum
4G,2015-07-29,2100,Tebessa,Ville_1_Tebe
4G,2014-10-25,700,Batna,Ville_7_Batn
2G,2018-01-27,2100,Biskra,Ville_6_Bisk
3G,2018-03-08,1800,Tipaza ,Ville_8_Tipa
3G,2022-07-09,800,Khenchela,Ville_3_Khen
3G,2017-04-24,2600,SoukAhras ,Ville_6_Souk
4G,2019-06-05,1800,Tindouf,Ville_2_Tind
4G,2018-02-01,2100,Ouargla,Ville_2_Ouar
4G,2020-11-05,700,Ouargla,Ville_3_Ouar
4G,2021-02-06,1800,Mila,Ville_3_Mila
3G,2021-04-30,2600,Bechar,Ville_2_Bech
4G,2020-12-31,800,Annaba,Ville_2_Anna
3G,2021-07-10,2100,ElBayadh,Ville_5_ElBa
4G,2016-11-30,2100,TiziOuzou,Ville_7_Tizi
2G,2017-10-22,2100,Naama,Ville_5_Naam
4G,2022-05-31,2100,Mascara,Ville_3_Masc
4G,2014-10-27,2600,Setif,Ville_3_Seti
4G,2017-08-27,2100,Mila,Ville_8_Mila
4G,2018-03-08,2600,Biskra,Ville_4_Bisk
4G,2020-07-18,800,Jijel,Ville_2_Jije
4G,2020-07-14,1800,Skikda,Ville_7_Skik
4G,2018-03-21,800,Blida,Ville_5_Blid
3G,2019-05-15,800,Guelma ,Ville_4_Guel
3G,2021-04-21,2600,Medea,Ville_1_Mede
4G,2016-11-02,2600,Bouaghi,Ville_7_Boua
4G,2018-11-09,700,Bechar,Ville_1_Bech
2G,2020-10-28,700,Skikda,Ville_4_Skik
4G,2015-09-04,1800,Tebessa,Ville_6_Tebe
4G,2017-01-19,700,Oran,Ville_4_Oran
3G,2015-06-19,700,TiziOuzou,Ville_6_Tizi
4G,2015-03-21,800,Batna,Ville_4_Batn
4G,2017-12-21,2600,Blida,Ville_7_Blid
4G,2021-10-08,800,Ain Defla,Ville_6_Ain 
2G,2020-03-25,700,TiziOuzou,Ville_5_Tizi
4G,2019-09-21,800,Boumerdes,Ville_7_Boum
4G,2019-11-12,800,Tebessa,Ville_6_Tebe
3G,2014-10-05,2100,Boumerdes,Ville_6_Boum
4G,2018-11-25,2600,Batna,Ville_8_Batn
3G,2022-09-02,2600,AinTemouchent,Ville_3_AinT
3G,2014-12-27,2100,Relizane,Ville_4_Reli
2G,2020-11-24,800,Batna,Ville_5_Batn
3G,2020-04-06,800,SidiBelAbbes,Ville_6_Sidi
4G,2022-03-21,1800,Oran,Ville_7_Oran
4G,2015-05-17,2100,Bouaghi,Ville_6_Boua
3G,2019-06-13,2600,Tebessa,Ville_2_Tebe
4G,2017-06-28,700,Chlef,Ville_6_Chle
4G,2020-05-31,700,Bejaia,Ville_4_Beja
3G,2014-09-25,700,Annaba,Ville_2_Anna
3G,2021-03-19,2600,Annaba,Ville_4_Anna
3G,2016-05-13,2100,Illizi,Ville_7_Illi
2G,2021-03-07,1800,Laghouat,Ville_3_Lagh
3G,2021-03-07,2600,Tebessa,Ville_7_Tebe
4G,2017-04-07,700,Tipaza ,Ville_6_Tipa
4G,2021-01-27,2600,ElBayadh,Ville_1_ElBa
2G,2022-02-26,2600,Msila,Ville_2_Msil
4G,2021-12-11,1800,Bouira,Ville_5_Boui
4G,2020-08-22,2100,Annaba,Ville_7_Anna
4G,2015-04-09,2100,Ain Defla,Ville_6_Ain 
4G,2017-05-19,2600,Ouargla,Ville_3_Ouar
4G,2019-10-28,2600,Annaba,Ville_6_Anna
4G,2021-12-24,2100,Naama,Ville_3_Naam
4G,2018-03-26,1800,Bejaia,Ville_5_Beja
3G,2018-07-04,2600,Laghouat,Ville_1_Lagh
3G,2014-12-03,1800,Mascara,Ville_1_Masc
2G,2017-02-28,1800,Bejaia,Ville_8_Beja
3G,2018-07-05,1800,Djelfa,Ville_8_Djel
3G,2019-06-10,800,Tissemsilt,Ville_8_Tiss
2G,2016-09-27,800,Blida,Ville_1_Blid
4G,2019-09-13,1800,SoukAhras ,Ville_8_Souk
4G,2022-06-28,800,Bordj Bou Arreridj,Ville_2_Bord
4G,2021-06-06,700,Ouargla,Ville_5_Ouar
3G,2018-08-05,800,SoukAhras ,Ville_1_Souk
2G,2017-04-16,2100,SidiBelAbbes,Ville_4_Sidi
3G,2021-01-17,800,Khenchela,Ville_5_Khen
2G,2014-10-07,2100,Alger,Ville_7_Alge
2G,2015-08-21,1800,ElTarf,Ville_6_ElTa
2G,2017-02-03,800,Skikda,Ville_1_Skik
4G,2020-07-15,1800,Relizane,Ville_7_Reli
2G,2014-09-23,700,Saida,Ville_2_Said
4G,2021-01-01,2600,Blida,Ville_3_Blid
4G,2018-11-11,1800,Illizi,Ville_5_Illi
3G,2015-06-03,800,ElOued,Ville_7_ElOu
4G,2021-03-01,1800,Skikda,Ville_3_Skik
3G,2017-03-16,2600,Skikda,Ville_5_Skik
4G,2016-06-03,1800,Tlemcen,Ville_5_Tlem
3G,2015-01-17,800,Djelfa,Ville_1_Djel
3G,2018-02-22,2100,Tiaret,Ville_3_Tiar
3G,2022-01-24,2600,Batna,Ville_5_Batn
4G,2017-07-27,1800,Laghouat,Ville_5_Lagh
3G,2020-01-12,1800,Tissemsilt,Ville_8_Tiss
3G,2015-10-10,1800,Boumerdes,Ville_4_Boum
4G,2017-06-03,2600,Bechar,Ville_4_Bech
3G,2017-01-31,800,Mila,Ville_7_Mila
4G,2017-06-09,2100,Tissemsilt,Ville_1_Tiss
2G,2017-09-04,700,Setif,Ville_2_Seti
3G,2019-06-01,2100,Bechar,Ville_3_Bech
3G,2020-12-03,2600,Ain Defla,Ville_2_Ain 
3G,2019-02-05,2600,Skikda,Ville_5_Skik
3G,2018-06-17,2100,Jijel,Ville_3_Jije
2G,2015-05-12,1800,Ain Defla,Ville_1_Ain 
3G,2016-11-15,2600,Relizane,Ville_2_Reli
2G,2015-09-04,2100,Constantine,Ville_5_Cons
3G,2015-05-31,2100,Mostaganem,Ville_8_Most
4G,2015-04-30,800,Ghardaia,Ville_6_Ghar
3G,2021-07-14,1800,Mascara,Ville_5_Masc
2G,2015-09-11,2100,Skikda,Ville_7_Skik
4G,2015-06-21,2600,Mila,Ville_2_Mila
3G,2018-11-27,2600,Setif,Ville_5_Seti
3G,2017-03-08,1800,Tebessa,Ville_4_Tebe
2G,2022-01-31,2600,Tipaza ,Ville_8_Tipa
3G,2022-01-14,2100,Tissemsilt,Ville_5_Tiss
3G,2019-04-07,1800,Khenchela,Ville_6_Khen
2G,2021-01-09,2100,Medea,Ville_8_Mede
4G,2022-08-06,1800,Relizane,Ville_7_Reli
2G,2018-02-12,2100,Setif,Ville_2_Seti
3G,2019-04-01,2100,Oran,Ville_6_Oran
2G,2021-06-13,2100,AinTemouchent,Ville_7_AinT
4G,2022-02-03,2100,Annaba,Ville_4_Anna
3G,2014-10-23,1800,SidiBelAbbes,Ville_2_Sidi
3G,2019-05-06,2600,Laghouat,Ville_2_Lagh
3G,2020-06-29,1800,Oran,Ville_7_Oran
4G,2014-11-29,700,Tamanrasset,Ville_2_Tama
4G,2018-11-08,800,Mila,Ville_5_Mila
3G,2014-11-17,2600,Jijel,Ville_3_Jije
4G,2022-03-26,1800,Annaba,Ville_6_Anna
4G,2017-08-22,800,Guelma ,Ville_1_Guel
2G,2017-01-25,2100,ElOued,Ville_1_ElOu
3G,2017-03-03,800,Bejaia,Ville_2_Beja
2G,2016-09-08,1800,Skikda,Ville_2_Skik
4G,2016-02-21,1800,Chlef,Ville_2_Chle
2G,2017-04-29,700,Biskra,Ville_4_Bisk
4G,2016-12-14,800,ElOued,Ville_8_ElOu
2G,2018-05-12,1800,Mostaganem,Ville_6_Most
3G,2021-04-08,700,Bouaghi,Ville_5_Boua
4G,2016-04-09,2100,TiziOuzou,Ville_5_Tizi
4G,2015-08-30,800,Bouira,Ville_3_Boui
3G,2019-04-19,700,Relizane,Ville_2_Reli
3G,2015-03-05,2600,Alger,Ville_7_Alge
4G,2014-11-10,800,Bechar,Ville_7_Bech
3G,2021-08-12,2600,Boumerdes,Ville_5_Boum
2G,2019-09-01,800,Annaba,Ville_3_Anna
2G,2019-12-23,700,Setif,Ville_1_Seti
3G,2018-09-15,1800,SoukAhras ,Ville_6_Souk
3G,2018-02-10,2100,Skikda,Ville_5_Skik
4G,2021-11-13,700,Ghardaia,Ville_5_Ghar
4G,2018-04-06,1800,Tissemsilt,Ville_1_Tiss
3G,2022-01-27,800,Batna,Ville_3_Batn
4G,2019-11-14,800,Ghardaia,Ville_2_Ghar
3G,2021-03-22,1800,Tiaret,Ville_4_Tiar
2G,2015-06-01,1800,Tlemcen,Ville_1_Tlem
2G,2020-11-22,700,SidiBelAbbes,Ville_8_Sidi
3G,2018-09-09,1800,Chlef,Ville_8_Chle
4G,2018-12-20,1800,Alger,Ville_6_Alge
2G,2017-09-01,1800,Bouira,Ville_6_Boui
4G,2015-10-24,800,Mostaganem,Ville_2_Most
2G,2022-01-25,700,Setif,Ville_6_Seti
4G,2017-09-14,2600,Medea,Ville_6_Mede
4G,2022-09-12,2100,ElBayadh,Ville_3_ElBa
3G,2015-04-20,2600,Setif,Ville_7_Seti
2G,2021-01-24,700,Saida,Ville_7_Said
4G,2017-12-17,2600,Biskra,Ville_8_Bisk
4G,2021-11-18,2100,Tamanrasset,Ville_3_Tama
3G,2015-09-11,2100,Mascara,Ville_2_Masc
4G,2018-12-14,2600,Chlef,Ville_1_Chle
3G,2020-02-19,2600,Bouira,Ville_7_Boui
3G,2021-10-01,700,Alger,Ville_2_Alge
2G,2018-06-19,800,Guelma ,Ville_1_Guel
4G,2017-01-25,1800,Bouira,Ville_8_Boui
3G,2017-05-06,700,Bouira,Ville_5_Boui
3G,2021-03-12,800,Biskra,Ville_7_Bisk
3G,2017-02-14,700,Tamanrasset,Ville_4_Tama
3G,2016-06-15,700,Mostaganem,Ville_6_Most
3G,2018-10-27,1800,ElBayadh,Ville_2_ElBa
2G,2019-03-25,800,Alger,Ville_1_Alge
2G,2017-11-02,1800,Laghouat,Ville_1_Lagh
3G,2019-11-06,800,Khenchela,Ville_8_Khen
2G,2019-12-03,1800,Setif,Ville_3_Seti
3G,2014-10-31,2100,Alger,Ville_4_Alge
3G,2016-11-19,800,Tipaza ,Ville_1_Tipa
4G,2019-04-06,2600,Ain Defla,Ville_5_Ain 
4G,2021-11-17,2600,Relizane,Ville_7_Reli
3G,2020-01-16,2600,Annaba,Ville_2_Anna
2G,2019-09-26,700,Tamanrasset,Ville_7_Tama
3G,2016-04-26,1800,Annaba,Ville_5_Anna
2G,2021-08-11,800,Setif,Ville_8_Seti
4G,2018-12-20,1800,SidiBelAbbes,Ville_5_Sidi
2G,2016-10-24,2600,Ain Defla,Ville_7_Ain 
4G,2016-07-04,2100,Alger,Ville_1_Alge
3G,2017-06-29,2100,ElBayadh,Ville_4_ElBa
4G,2019-11-20,1800,Bouira,Ville_1_Boui
3G,2015-01-23,800,Tamanrasset,Ville_8_Tama
4G,2019-01-27,1800,Boumerdes,Ville_8_Boum
2G,2019-06-26,700,AinTemouchent,Ville_5_AinT
4G,2015-02-19,1800,Skikda,Ville_6_Skik
4G,2022-01-25,2600,Boumerdes,Ville_3_Boum
3G,2021-05-08,700,Khenchela,Ville_5_Khen
3G,2016-11-04,2100,Chlef,Ville_5_Chle
2G,2015-01-23,700,Mila,Ville_2_Mila
2G,2018-12-12,2600,Ain Defla,Ville_8_Ain 
4G,2021-12-12,1800,Bejaia,Ville_2_Beja
4G,2020-05-02,700,Skikda,Ville_8_Skik
3G,2021-11-19,2100,Tiaret,Ville_5_Tiar
4G,2020-09-17,800,Mostaganem,Ville_1_Most
4G,2018-04-13,1800,ElBayadh,Ville_7_ElBa
4G,2016-05-10,2100,Bouira,Ville_2_Boui
2G,2015-12-21,700,SoukAhras ,Ville_2_Souk
2G,2022-04-05,2600,Bejaia,Ville_8_Beja
2G,2018-03-03,700,Relizane,Ville_7_Reli
2G,2018-02-13,1800,Relizane,Ville_5_Reli
3G,2018-03-23,2100,SidiBelAbbes,Ville_8_Sidi
3G,2019-09-09,2600,Medea,Ville_8_Mede
3G,2022-01-13,2600,Khenchela,Ville_2_Khen
4G,2019-11-18,2600,Tissemsilt,Ville_3_Tiss
4G,2021-03-30,2100,Djelfa,Ville_3_Djel
4G,2016-05-07,1800,Boumerdes,Ville_5_Boum
4G,2021-05-26,700,TiziOuzou,Ville_8_Tizi
4G,2016-06-02,2100,ElOued,Ville_4_ElOu
2G,2015-01-28,2100,Naama,Ville_5_Naam
4G,2019-11-10,2600,Biskra,Ville_6_Bisk
2G,2020-07-23,2100,Chlef,Ville_5_Chle
3G,2014-11-21,2600,Ouargla,Ville_6_Ouar
2G,2016-07-17,2100,Tlemcen,Ville_5_Tlem
3G,2016-06-14,2600,Ghardaia,Ville_8_Ghar
4G,2022-07-21,700,Tipaza ,Ville_3_Tipa
3G,2016-12-23,800,Bouaghi,Ville_7_Boua
3G,2021-08-27,800,Bejaia,Ville_3_Beja
3G,2015-12-01,700,Oran,Ville_1_Oran
4G,2021-10-16,2600,Bouira,Ville_5_Boui
2G,2015-03-30,2100,Annaba,Ville_1_Anna
4G,2018-09-22,2600,Mila,Ville_1_Mila
4G,2018-07-14,1800,Medea,Ville_4_Mede
4G,2021-05-29,1800,Tissemsilt,Ville_8_Tiss
3G,2015-10-30,1800,Mascara,Ville_8_Masc
3G,2016-08-26,800,Annaba,Ville_3_Anna
3G,2021-05-06,700,Bejaia,Ville_5_Beja
3G,2022-03-08,1800,Jijel,Ville_1_Jije
2G,2016-01-11,1800,Bechar,Ville_5_Bech
2G,2018-05-09,2600,Msila,Ville_5_Msil
2G,2021-09-08,800,Ghardaia,Ville_7_Ghar
2G,2019-09-26,800,Guelma ,Ville_3_Guel
3G,2021-08-05,700,Laghouat,Ville_7_Lagh
4G,2015-11-22,1800,Oran,Ville_5_Oran
4G,2018-09-26,2600,Alger,Ville_1_Alge
3G,2020-06-07,2600,Tebessa,Ville_2_Tebe
2G,2018-05-23,2100,Setif,Ville_5_Seti
3G,2015-05-03,2100,Annaba,Ville_4_Anna
2G,2017-04-02,800,Khenchela,Ville_3_Khen
3G,2016-04-09,2100,Bejaia,Ville_1_Beja
2G,2017-08-16,2600,Jijel,Ville_3_Jije
4G,2022-03-16,2100,Annaba,Ville_5_Anna
4G,2021-06-01,1800,Tindouf,Ville_3_Tind
2G,2015-01-30,1800,Bouira,Ville_2_Boui
4G,2021-11-09,700,Boumerdes,Ville_3_Boum
4G,2021-11-08,1800,Bouira,Ville_3_Boui
3G,2015-10-16,800,Tlemcen,Ville_3_Tlem
3G,2021-07-15,700,Bejaia,Ville_2_Beja
4G,2018-07-07,1800,Tindouf,Ville_8_Tind
3G,2018-02-17,2600,Chlef,Ville_8_Chle
3G,2022-03-21,2600,Chlef,Ville_3_Chle
2G,2021-03-29,800,Tlemcen,Ville_4_Tlem
4G,2018-05-18,800,Khenchela,Ville_4_Khen
4G,2017-06-07,2600,Bordj Bou Arreridj,Ville_4_Bord
4G,2018-11-02,800,Bechar,Ville_4_Bech
3G,2020-07-20,800,Mostaganem,Ville_1_Most
3G,2018-10-24,700,Constantine,Ville_6_Cons
3G,2018-09-10,1800,Ghardaia,Ville_8_Ghar
3G,2017-04-29,2100,Tipaza ,Ville_2_Tipa
2G,2019-01-11,1800,Batna,Ville_7_Batn
3G,2017-06-07,700,Bouira,Ville_7_Boui
4G,2017-02-23,2600,Tindouf,Ville_2_Tind
2G,2021-05-07,700,Naama,Ville_5_Naam
3G,2022-07-28,2100,Chlef,Ville_5_Chle
4G,2019-04-06,700,AinTemouchent,Ville_4_AinT
3G,2019-08-02,2600,Chlef,Ville_4_Chle
3G,2022-08-14,2100,Tebessa,Ville_1_Tebe
3G,2017-12-07,1800,Oran,Ville_4_Oran
4G,2019-11-17,800,AinTemouchent,Ville_6_AinT
4G,2016-07-09,2600,Khenchela,Ville_2_Khen
4G,2021-10-15,1800,Alger,Ville_2_Alge
3G,2015-07-03,700,Ouargla,Ville_5_Ouar
4G,2019-08-03,2100,Chlef,Ville_1_Chle
3G,2021-06-15,2600,Alger,Ville_2_Alge
4G,2020-12-03,2100,ElTarf,Ville_7_ElTa
2G,2020-01-16,1800,Medea,Ville_3_Mede
4G,2020-12-23,1800,Tebessa,Ville_2_Tebe
3G,2017-12-30,2600,Alger,Ville_3_Alge
3G,2015-08-16,700,Biskra,Ville_4_Bisk
2G,2022-05-22,2100,Saida,Ville_8_Said
3G,2021-04-08,800,ElTarf,Ville_5_ElTa
3G,2021-09-05,2100,Djelfa,Ville_4_Djel
3G,2018-12-30,2100,Tiaret,Ville_2_Tiar
2G,2016-12-06,1800,Bouira,Ville_3_Boui
3G,2018-10-27,1800,ElOued,Ville_5_ElOu
3G,2018-09-02,2100,AinTemouchent,Ville_5_AinT
4G,2016-05-08,1800,Ghardaia,Ville_8_Ghar
2G,2020-01-26,800,ElBayadh,Ville_5_ElBa
3G,2016-09-22,2100,Mostaganem,Ville_6_Most
4G,2021-08-05,2600,Relizane,Ville_6_Reli
2G,2015-03-19,800,Msila,Ville_4_Msil
3G,2018-08-26,800,SidiBelAbbes,Ville_6_Sidi
4G,2014-12-26,2100,Tindouf,Ville_5_Tind
3G,2022-05-04,1800,Tindouf,Ville_7_Tind
2G,2014-09-19,700,Constantine,Ville_6_Cons
4G,2016-09-28,800,Bouaghi,Ville_5_Boua
2G,2015-07-10,1800,Khenchela,Ville_7_Khen
2G,2017-02-19,1800,Bejaia,Ville_5_Beja
4G,2015-12-30,700,AinTemouchent,Ville_5_AinT
2G,2021-04-02,700,Laghouat,Ville_6_Lagh
4G,2022-03-07,700,Tipaza ,Ville_1_Tipa
3G,2014-11-27,1800,Msila,Ville_3_Msil
3G,2015-06-23,2600,Bouaghi,Ville_5_Boua
2G,2018-09-30,1800,Bouaghi,Ville_5_Boua
2G,2019-11-05,2600,ElBayadh,Ville_1_ElBa
4G,2022-03-09,1800,Medea,Ville_1_Mede
4G,2022-01-25,1800,Bejaia,Ville_4_Beja
3G,2022-05-26,800,Chlef,Ville_1_Chle
3G,2017-12-23,800,TiziOuzou,Ville_2_Tizi
4G,2021-09-13,2600,Mila,Ville_3_Mila
2G,2015-08-26,2600,Ghardaia,Ville_8_Ghar
4G,2022-09-05,2600,Naama,Ville_5_Naam
3G,2018-01-06,700,Mascara,Ville_6_Masc
3G,2019-10-24,700,Laghouat,Ville_7_Lagh
3G,2017-03-20,2600,Bouaghi,Ville_1_Boua
2G,2014-10-03,700,Medea,Ville_2_Mede
3G,2022-03-05,2600,Tissemsilt,Ville_6_Tiss
4G,2019-01-30,2600,Boumerdes,Ville_1_Boum
3G,2015-08-18,800,Bejaia,Ville_4_Beja
4G,2017-10-06,1800,Bouira,Ville_2_Boui
3G,2015-07-27,1800,ElOued,Ville_8_ElOu
3G,2021-08-03,700,Skikda,Ville_8_Skik
4G,2015-02-10,800,Laghouat,Ville_1_Lagh
4G,2017-04-13,2100,Saida,Ville_6_Said
2G,2020-12-06,2600,Medea,Ville_1_Mede
4G,2021-02-15,700,Biskra,Ville_2_Bisk
2G,2015-06-25,700,Msila,Ville_5_Msil
3G,2019-06-08,1800,Batna,Ville_2_Batn
4G,2015-09-11,2100,Mascara,Ville_3_Masc
4G,2018-09-20,800,Ghardaia,Ville_5_Ghar
3G,2021-01-22,2600,Ghardaia,Ville_8_Ghar
2G,2019-04-15,2100,Bouira,Ville_2_Boui
2G,2019-01-30,800,Tamanrasset,Ville_7_Tama
2G,2019-12-08,800,Chlef,Ville_4_Chle
2G,2018-11-15,800,Jijel,Ville_3_Jije
4G,2019-07-18,2100,Constantine,Ville_3_Cons
4G,2021-07-11,2100,Naama,Ville_8_Naam
4G,2021-01-16,800,ElBayadh,Ville_4_ElBa
4G,2020-03-25,2100,Bouaghi,Ville_7_Boua
3G,2022-08-04,1800,Bordj Bou Arreridj,Ville_6_Bord
4G,2019-09-21,800,Biskra,Ville_3_Bisk
4G,2020-05-30,1800,Annaba,Ville_4_Anna
4G,2020-02-21,2100,ElTarf,Ville_2_ElTa
2G,2019-12-19,2100,Tiaret,Ville_6_Tiar
4G,2022-04-15,1800,Alger,Ville_3_Alge
3G,2018-08-17,1800,Bouaghi,Ville_7_Boua
2G,2015-02-04,2100,Bejaia,Ville_1_Beja
3G,2019-12-20,2100,Tamanrasset,Ville_1_Tama
2G,2018-06-17,1800,ElOued,Ville_5_ElOu
4G,2020-10-05,2600,Bordj Bou Arreridj,Ville_3_Bord
2G,2015-09-16,1800,Tindouf,Ville_6_Tind
4G,2018-12-08,2600,Tipaza ,Ville_2_Tipa
2G,2016-06-10,2600,SidiBelAbbes,Ville_6_Sidi
3G,2016-07-19,700,Tlemcen,Ville_8_Tlem
2G,2014-11-16,2600,AinTemouchent,Ville_2_AinT
2G,2019-05-13,2600,Biskra,Ville_2_Bisk
2G,2016-12-31,2100,Laghouat,Ville_1_Lagh
4G,2017-11-18,2100,TiziOuzou,Ville_7_Tizi
2G,2016-07-14,1800,TiziOuzou,Ville_7_Tizi
3G,2016-04-08,2100,Illizi,Ville_5_Illi
4G,2017-05-23,700,Tipaza ,Ville_2_Tipa
4G,2021-05-09,800,Tamanrasset,Ville_8_Tama
4G,2022-02-28,2100,Mila,Ville_8_Mila
4G,2020-01-17,2100,Tebessa,Ville_2_Tebe
3G,2016-09-01,2600,Bechar,Ville_8_Bech
4G,2017-02-02,800,SidiBelAbbes,Ville_3_Sidi
4G,2021-06-13,2600,ElTarf,Ville_2_ElTa
2G,2016-01-06,1800,TiziOuzou,Ville_6_Tizi
4G,2019-02-17,700,Illizi,Ville_7_Illi
2G,2020-12-25,2600,Batna,Ville_4_Batn
4G,2019-06-02,700,Medea,Ville_5_Mede
4G,2016-03-25,2100,Constantine,Ville_8_Cons
4G,2016-04-23,800,Saida,Ville_4_Said
3G,2015-11-21,2600,Tissemsilt,Ville_3_Tiss
4G,2022-04-27,700,Bejaia,Ville_6_Beja
2G,2017-03-03,1800,Naama,Ville_4_Naam
3G,2019-07-27,2100,Tlemcen,Ville_4_Tlem
2G,2018-12-18,2100,Djelfa,Ville_3_Djel
3G,2020-08-10,700,Boumerdes,Ville_4_Boum
4G,2020-03-22,2100,Laghouat,Ville_7_Lagh
4G,2018-10-03,2600,Tamanrasset,Ville_8_Tama
4G,2017-04-15,2100,ElBayadh,Ville_8_ElBa
3G,2017-07-30,800,Saida,Ville_2_Said
2G,2016-05-19,800,Constantine,Ville_4_Cons
4G,2021-05-10,2100,Medea,Ville_3_Mede
3G,2015-06-13,2600,Tindouf,Ville_3_Tind
2G,2020-01-27,700,Msila,Ville_6_Msil
4G,2019-11-10,700,ElBayadh,Ville_2_ElBa
3G,2018-01-16,700,Tindouf,Ville_8_Tind
2G,2019-04-25,2100,Batna,Ville_5_Batn
4G,2021-05-31,2600,Tipaza ,Ville_3_Tipa
4G,2019-12-07,1800,Illizi,Ville_2_Illi
3G,2018-03-01,1800,Saida,Ville_6_Said
4G,2021-04-16,1800,Naama,Ville_5_Naam
4G,2019-06-09,2100,Setif,Ville_8_Seti
3G,2018-11-04,2600,ElTarf,Ville_6_ElTa
2G,2014-12-08,1800,Relizane,Ville_2_Reli
4G,2022-04-08,800,SoukAhras ,Ville_7_Souk
4G,2016-04-30,800,Biskra,Ville_4_Bisk
4G,2015-05-15,800,Setif,Ville_7_Seti
4G,2015-03-10,800,Tindouf,Ville_4_Tind
4G,2019-03-17,2100,Tissemsilt,Ville_3_Tiss
4G,2014-10-01,800,Medea,Ville_2_Mede
3G,2014-11-17,1800,ElOued,Ville_4_ElOu
2G,2019-03-14,1800,Ain Defla,Ville_4_Ain 
2G,2017-12-13,2100,Guelma ,Ville_7_Guel
2G,2022-04-27,2100,Tamanrasset,Ville_3_Tama
2G,2020-03-28,700,Ain Defla,Ville_2_Ain 
3G,2021-12-19,2100,Tipaza ,Ville_8_Tipa
2G,2018-12-19,2600,Biskra,Ville_7_Bisk
4G,2017-12-28,800,Medea,Ville_6_Mede
2G,2020-03-29,2100,Alger,Ville_3_Alge
3G,2021-10-03,1800,Tlemcen,Ville_4_Tlem
4G,2019-09-25,1800,Tiaret,Ville_1_Tiar
3G,2018-04-15,1800,Ouargla,Ville_2_Ouar
3G,2020-02-04,700,Setif,Ville_8_Seti
3G,2021-11-19,700,Blida,Ville_5_Blid
2G,2018-12-23,1800,Chlef,Ville_6_Chle
4G,2016-05-04,700,TiziOuzou,Ville_6_Tizi
3G,2019-08-23,2100,Tipaza ,Ville_7_Tipa
4G,2018-11-24,1800,Tiaret,Ville_5_Tiar
2G,2015-12-11,1800,ElOued,Ville_7_ElOu
3G,2022-03-21,700,Setif,Ville_2_Seti
3G,2014-12-05,800,Relizane,Ville_2_Reli
4G,2021-01-08,2600,Khenchela,Ville_5_Khen
2G,2015-12-08,2100,Bechar,Ville_1_Bech
4G,2016-08-03,2600,Bouira,Ville_1_Boui
2G,2020-10-29,800,AinTemouchent,Ville_3_AinT
2G,2021-01-08,800,Medea,Ville_1_Mede
2G,2020-12-14,800,TiziOuzou,Ville_3_Tizi
2G,2022-03-31,2600,Batna,Ville_4_Batn
2G,2014-12-03,1800,Bordj Bou Arreridj,Ville_4_Bord
3G,2018-05-13,1800,Illizi,Ville_5_Illi
2G,2022-05-11,700,Saida,Ville_2_Said
2G,2020-10-13,1800,Biskra,Ville_1_Bisk
4G,2017-09-11,1800,Ain Defla,Ville_4_Ain 
4G,2014-12-03,800,Djelfa,Ville_1_Djel
2G,2018-02-10,2100,Tlemcen,Ville_4_Tlem
2G,2016-10-18,700,Bechar,Ville_4_Bech
4G,2020-09-01,800,Guelma ,Ville_7_Guel
4G,2016-05-27,2600,Bordj Bou Arreridj,Ville_1_Bord
4G,2019-11-08,700,TiziOuzou,Ville_3_Tizi
4G,2018-02-01,800,Skikda,Ville_5_Skik
2G,2018-01-22,1800,Khenchela,Ville_8_Khen
3G,2018-02-03,2600,Jijel,Ville_3_Jije
4G,2019-01-26,800,Medea,Ville_3_Mede
4G,2022-08-18,800,Oran,Ville_2_Oran
4G,2019-12-01,2600,Batna,Ville_7_Batn
3G,2020-10-12,1800,Constantine,Ville_5_Cons
